subscription_id,user_id,plan,start_date,end_date,monthly_revenue,status
103fa5b1-2566-47e2-85fe-6b7890a865b8,79e5d8ac-3dd4-4e41-94dc-eff38b98f7bb,pro,2024-02-27,,49.0,active
bfc7da2d-4c8c-485a-bf03-815c1c467ba4,956355ae-a3b3-4a08-9f03-8e4697a69044,pro,2024-02-26,2024-05-08,49.0,canceled
2c43f481-987f-4227-8421-f6094722609a,09c0c30e-ad3c-47e7-9bcc-3e9d47b299b7,pro,2024-02-11,2024-04-02,49.0,canceled
3c3841f7-63d0-4040-a072-50a88abf3afb,94af487f-f3bb-4cfd-bc55-551deadd8a26,pro,2024-03-09,,49.0,active
9fd393a0-b87c-48e2-8255-5c62c2b12ff7,63c0c643-d473-4772-b0c9-3d98c5984f91,pro,2024-02-09,,49.0,active
91757e5d-e95a-4160-8d1e-c851b6e5556d,097725a9-4708-476e-aed1-109d8ea97e76,pro,2024-02-20,,49.0,active
5737052c-355e-472a-bc57-b2393ae903a4,ac8176e6-343b-49ff-a88e-f8db89c4cf70,pro,2024-02-27,,49.0,active
a878a80c-24c6-4b79-8702-bd7ca67fcfa9,d3d3cfc4-d60d-434a-85da-59e1a6fd0992,pro,2024-02-28,,49.0,active
9230e9c7-98bc-4df4-88bb-4f04accac21d,8948bfea-ae03-44bf-bbbf-7ea9df1dd692,pro,2024-02-09,,49.0,active
c411a20f-f506-4b15-b6b3-232079e8c3bc,20bcfaba-af6a-4090-9f7f-5a42871b4eac,pro,2024-02-21,,49.0,active
d1b2b558-ca4f-4a95-9e3b-8831ffa9bd25,cff0a4cd-8abd-48db-bc53-b0be9648f023,pro,2024-02-22,2024-05-24,49.0,canceled
dd82fed4-4a20-4386-9f4a-2772c1d40ba6,d61890a1-98b0-44d9-869b-304541f6d7e2,pro,2024-02-21,2024-06-02,49.0,canceled
0c644efb-dc32-49dc-8ae9-aa33ce8cb5f7,d38d0d3e-2754-4da1-8dfa-c1d968002703,pro,2024-03-03,,49.0,active
d12027bd-4f10-4670-927a-4b95bf13c846,14471f38-0211-447e-abe0-f4dc5e8aee44,pro,2024-02-23,,49.0,active
95caa62d-2c2f-486f-b51e-0c4cc01f988a,a2438ebd-4c20-40ee-9eee-47e204fbc594,pro,2024-03-09,,49.0,active
ffba15a2-18ae-4bf3-bde4-10cdcd36bc6f,00c93dcd-d9eb-4999-a400-e58201b63707,pro,2024-02-20,,49.0,active
d4ea3a16-32bd-48a4-8f4a-373861853dc6,68d2f957-db09-4432-8445-b25cb2ee7df5,pro,2024-02-28,2024-06-26,49.0,canceled
35744bab-3931-4437-b479-190c6f47a68b,3be2beb9-5232-43f5-ad1c-64a9aab2af19,pro,2024-02-06,,49.0,active
6cf770b2-6f5b-4c19-8572-2190d13e14f9,a513cf0e-6971-4df2-bbb4-48739536ca5b,pro,2024-02-27,,49.0,active
c2e04db7-31a2-46b5-bd59-d0a45814b047,fbe050bf-cdaa-496c-8da1-e0272fbfb95d,pro,2024-02-27,,49.0,active
