user_id,signup_timestamp,acquisition_channel,country
126258fc-e476-4c24-870e-fe0523a432c7,2024-01-29,organic,US
79e5d8ac-3dd4-4e41-94dc-eff38b98f7bb,2024-02-04,referral,CA
627ae543-da8d-4793-b2d5-205649a77279,2024-01-24,paid_search,CA
8e8919dc-984d-4e72-bce5-3e4ea2d00563,2024-02-02,organic,IN
43b5d837-cbb9-483f-98a7-10aaddd43403,2024-02-06,organic,IN
956355ae-a3b3-4a08-9f03-8e4697a69044,2024-01-25,sales,US
09c0c30e-ad3c-47e7-9bcc-3e9d47b299b7,2024-01-28,organic,US
91350281-009b-4db8-b553-7e47edc2b916,2024-01-30,paid_search,CA
3b44dca3-0219-4626-bf5a-c61a19545372,2024-02-02,organic,IN
94af487f-f3bb-4cfd-bc55-551deadd8a26,2024-01-27,paid_search,IN
0ace78ef-98e3-499c-bd38-16d5313289b4,2024-01-30,sales,CA
d537f541-e2b5-4592-a61b-f3388977a056,2024-01-26,sales,IN
5a85d9ce-e55c-471e-89b6-721290fd0307,2024-02-01,referral,US
e12544d9-0621-4714-90f0-eb864b9011a4,2024-02-02,paid_search,DE
63c0c643-d473-4772-b0c9-3d98c5984f91,2024-01-28,referral,GB
097725a9-4708-476e-aed1-109d8ea97e76,2024-02-03,paid_search,CA
6cb78a50-8c83-47b3-97ac-2e18c24a652c,2024-01-23,referral,US
5b977f4e-b6a6-4aaf-b0fa-e5e7e5824f3c,2024-01-27,organic,DE
4de4f3ab-9869-47f7-8f9b-314846f5d554,2024-01-28,organic,GB
f9051f0e-d22e-4f54-88f3-16f510bdeabe,2024-02-01,referral,IN
8ff25d71-da12-4b77-93ca-19d14ee8c460,2024-01-22,referral,US
8a6feac7-0619-46a0-b989-4d079b384f82,2024-01-18,sales,IN
fa0169a3-c088-4033-907d-0e46fd84fdb0,2024-01-29,organic,DE
4bdc6fe9-e3fb-4527-a77a-bd43fc87612f,2024-02-06,organic,IN
d145c627-4838-42e4-9ad3-34ce7bc962ea,2024-01-27,referral,IN
03cc8e1b-0bcd-4814-8117-e9a2517dd0d2,2024-01-24,referral,IN
0252a896-5a3c-40e1-8b0e-52c07ad50952,2024-02-05,paid_search,US
b6d291b7-6957-41f6-bdd7-495d7542ead5,2024-02-03,organic,CA
02c9dd28-d158-488a-b5af-a8d00d409c86,2024-02-05,referral,US
0eceb6db-85c8-41b4-bc5c-4e485bb162fb,2024-01-29,paid_search,US
af2293f3-d152-4e61-8c7e-61cd3ec94f5f,2024-02-07,sales,GB
ac8176e6-343b-49ff-a88e-f8db89c4cf70,2024-01-28,sales,GB
036c2407-b91c-4735-9390-6e2d328bd55c,2024-01-28,paid_search,GB
7ec275ab-923f-4f07-862f-2257357715ae,2024-02-04,referral,CA
7a62fc76-1888-4261-84cd-31f05fdf3b30,2024-02-08,referral,US
ae3b49e0-b909-4f7c-8e49-03d7776e229b,2024-01-23,paid_search,IN
19dfb762-a891-4ab4-95d2-0941d10103c8,2024-02-04,paid_search,CA
da263777-d82b-45a5-86a9-82135990793b,2024-02-05,sales,DE
f0348968-aa54-4c9c-b2bd-e1a9186a480a,2024-01-31,referral,IN
d3d3cfc4-d60d-434a-85da-59e1a6fd0992,2024-01-28,paid_search,GB
3d1b43b3-4bf8-43eb-b420-3bbb572c31ed,2024-02-09,organic,CA
8948bfea-ae03-44bf-bbbf-7ea9df1dd692,2024-01-29,organic,GB
04eb031d-ee22-4712-bf0b-5b906e4c0e36,2024-01-26,sales,GB
82cde71f-638e-4cf3-a0fc-49f48f3e3524,2024-01-27,organic,CA
52c655c9-203b-424a-ae44-3bc620c39dbf,2024-02-10,referral,CA
6bb9afed-bf79-427b-9400-98cad986adb9,2024-02-02,sales,DE
9ad22ba5-769c-48d7-9e3c-8e69f4c90325,2024-02-05,sales,CA
dd12273f-ef4b-4975-9199-3509f5f271c7,2024-02-08,referral,CA
83e58b5c-ab1f-4e53-8406-5c2112cdb110,2024-01-28,paid_search,IN
